comarca,cultivo,tipo_riego,year,produccion_tn
Navarra Media,Trigo blando,Total,2021,97747.438
Navarra Media,Trigo blando,Total,2023,73443.67
Navarra Media,Trigo blando,Total,2025,95370.01999999999
Noroccidental,Cebada,Regadío,2015,0.0
Noroccidental,Cebada,Regadío,2017,53.0
Noroccidental,Cebada,Regadío,2019,6.25
Noroccidental,Cebada,Regadío,2021,0.0
Noroccidental,Cebada,Regadío,2023,0.0
Noroccidental,Cebada,Regadío,2025,0.0
Noroccidental,Cebada,Secano,2015,2165.58
Noroccidental,Cebada,Secano,2017,1680.0
Noroccidental,Cebada,Secano,2019,2314.6
Noroccidental,Cebada,Secano,2021,2116.4
Noroccidental,Cebada,Secano,2023,1854.4170000000001
Noroccidental,Cebada,Secano,2025,1597.5
Noroccidental,Cebada,Total,2015,2165.58
Noroccidental,Cebada,Total,2017,1733.0
Noroccidental,Cebada,Total,2019,2320.85
Noroccidental,Cebada,Total,2021,2116.4
Noroccidental,Cebada,Total,2023,1854.4170000000001
Noroccidental,Cebada,Total,2025,1597.5
Noroccidental,Trigo blando,Regadío,2015,48.2
Noroccidental,Trigo blando,Regadío,2017,0.0
Noroccidental,Trigo blando,Regadío,2019,0.0
Noroccidental,Trigo blando,Regadío,2021,30.6
Noroccidental,Trigo blando,Regadío,2023,5.8
Noroccidental,Trigo blando,Regadío,2025,5.5
Noroccidental,Trigo blando,Secano,2015,2494.01
Noroccidental,Trigo blando,Secano,2017,3507.2
Noroccidental,Trigo blando,Secano,2019,3907.916
Noroccidental,Trigo blando,Secano,2021,4099.44
Noroccidental,Trigo blando,Secano,2023,4489.099999999999
Noroccidental,Trigo blando,Secano,2025,3795.0
Noroccidental,Trigo blando,Total,2015,2542.21
Noroccidental,Trigo blando,Total,2017,3507.2
Noroccidental,Trigo blando,Total,2019,3907.916
Noroccidental,Trigo blando,Total,2021,4130.04
Noroccidental,Trigo blando,Total,2023,4494.9
Noroccidental,Trigo blando,Total,2025,3800.5
Pirineos,Cebada,Regadío,2015,131.08
Pirineos,Cebada,Regadío,2017,511.5
Pirineos,Cebada,Regadío,2019,272.878
Pirineos,Cebada,Regadío,2021,590.78
Pirineos,Cebada,Regadío,2023,397.79999999999995
Pirineos,Cebada,Regadío,2025,80.0
Pirineos,Cebada,Secano,2015,20100.045
Pirineos,Cebada,Secano,2017,25102.02
Pirineos,Cebada,Secano,2019,28832.976
Pirineos,Cebada,Secano,2021,20035.043999999998
Pirineos,Cebada,Secano,2023,20876.52
Pirineos,Cebada,Secano,2025,19140.0
Pirineos,Cebada,Total,2015,20231.125
Pirineos,Cebada,Total,2017,25613.52
Pirineos,Cebada,Total,2019,29105.854
Pirineos,Cebada,Total,2021,20625.823999999997
Pirineos,Cebada,Total,2023,21274.32
Pirineos,Cebada,Total,2025,19220.0
Pirineos,Trigo blando,Regadío,2015,734.58
Pirineos,Trigo blando,Regadío,2017,649.35
Pirineos,Trigo blando,Regadío,2019,1041.75
Pirineos,Trigo blando,Regadío,2021,1082.771
Pirineos,Trigo blando,Regadío,2023,1079.5
Pirineos,Trigo blando,Regadío,2025,1226.3999999999999
Pirineos,Trigo blando,Secano,2015,36444.681
Pirineos,Trigo blando,Secano,2017,45500.74
Pirineos,Trigo blando,Secano,2019,62713.465
Pirineos,Trigo blando,Secano,2021,48382.272
Pirineos,Trigo blando,Secano,2023,43228.104
Pirineos,Trigo blando,Secano,2025,48311.2
Pirineos,Trigo blando,Total,2015,37179.261
Pirineos,Trigo blando,Total,2017,46150.09
