cloud_cover_pct_mean,comarca,data_source,ndbi_max,ndbi_mean,ndbi_min,ndbi_stdDev,ndvi_max,ndvi_mean,ndvi_min,ndvi_stdDev,ndwi_max,ndwi_mean,ndwi_min,ndwi_stdDev,scene_count,schema_version,valid_pixel_count,window_end,window_id,window_start
68.4984595,Cuenca de Pamplona,GEE/COPERNICUS/S2_SR_HARMONIZED,0.99609375,-0.32745577333913123,-0.9867320656776428,0.29199224644946364,0.9996925592422485,0.35167382795460034,-0.600657045841217,0.3178432463526316,0.812538206577301,-0.3713856784094527,-0.9996925592422485,0.33667779249815805,6,v1.0,1421788,2021-01-17,W-20210101,2021-01-01
76.08000666666666,Cuenca de Pamplona,GEE/COPERNICUS/S2_SR_HARMONIZED,0.9803921580314636,-0.14278430739449322,-0.9435160756111145,0.18376186145565795,0.9993849992752075,0.5429080314143176,-0.9677419066429138,0.20178527977806884,0.9890710115432739,-0.5601432856886179,-0.9993849992752075,0.16897429995129482,6,v1.0,5628846,2021-02-02,W-20210117,2021-01-17
57.77798966666668,Cuenca de Pamplona,GEE/COPERNICUS/S2_SR_HARMONIZED,0.9046819806098938,-0.17856178953339408,-0.714069664478302,0.18897058028418526,0.9988505840301514,0.5975165829781344,-0.8761062026023865,0.20497596551027464,0.963589072227478,-0.5837522644775943,-0.9986666440963745,0.16298581361723025,6,v1.0,9713137,2021-03-06,W-20210218,2021-02-18
73.49889416666666,Cuenca de Pamplona,GEE/COPERNICUS/S2_SR_HARMONIZED,0.9864864945411682,-0.5762166229686468,-0.8706116080284119,0.0863547970614566,0.9993157982826233,0.04934639059154953,-0.07849829643964767,0.05752801062471924,0.949999988079071,-0.05443529839598486,-0.9993157982826233,0.05341149880072619,6,v1.0,4543510,2021-03-22,W-20210306,2021-03-06
20.291189666666668,Cuenca de Pamplona,GEE/COPERNICUS/S2_SR_HARMONIZED,1.0,-0.19802648705531078,-0.7876543402671814,0.19432536509221687,1.0,0.6165028683188625,-1.0,0.21270967981278663,1.0,-0.6065206786918343,-0.9911602139472961,0.1759506343146033,6,v1.0,10569641,2021-04-07,W-20210322,2021-03-22
47.73177166666667,Cuenca de Pamplona,GEE/COPERNICUS/S2_SR_HARMONIZED,1.0,-0.24904790311077712,-0.8420498371124268,0.21237294103773305,0.9995114803314209,0.64627973565632,-1.0,0.22694327949546597,1.0,-0.6216999026708134,-1.0,0.18444578950622978,6,v1.0,10458525,2021-04-23,W-20210407,2021-04-07
60.36537466666667,Cuenca de Pamplona,GEE/COPERNICUS/S2_SR_HARMONIZED,0.9964726567268372,-0.2921800861854563,-0.7806798815727234,0.19436420983202468,0.9994904398918152,0.6720040438076073,-0.9965457916259766,0.2217680650804542,0.9978517889976501,-0.6156519306122017,-0.9994904398918152,0.17585203814381706,6,v1.0,9040015,2021-05-25,W-20210509,2021-05-09
29.284840833333337,Cuenca de Pamplona,GEE/COPERNICUS/S2_SR_HARMONIZED,0.8214447498321533,-0.25348307014251,-0.714438796043396,0.1722711758828992,0.9655464291572571,0.6273591382503112,-0.8359672427177429,0.21939259494406424,0.8703071475028992,-0.5896487156963894,-0.9048649668693542,0.16554595144560508,6,v1.0,10572501,2021-06-10,W-20210525,2021-05-25
58.460170500000004,Cuenca de Pamplona,GEE/COPERNICUS/S2_SR_HARMONIZED,0.9962121248245239,-0.2082201334894431,-0.8024181723594666,0.17363170998311844,0.9994955658912659,0.5261803040421084,-0.9930070042610168,0.24468498452289414,0.9953380227088928,-0.5120161079387748,-0.9993600249290466,0.19812869615183815,6,v1.0,9691968,2021-06-26,W-20210610,2021-06-10
46.156006166666664,Cuenca de Pamplona,GEE/COPERNICUS/S2_SR_HARMONIZED,0.9961089491844177,-0.08383905794233616,-0.7826961874961853,0.20394368779687566,0.9990181922912598,0.48574315898492754,-0.9913793206214905,0.268586076917126,0.9974779486656189,-0.5048596216239314,-0.9980119466781616,0.18479941704726405,6,v1.0,10512363,2021-07-12,W-20210626,2021-06-26
