model,MAE,RMSE,R2
Historical Mean,11320.553642857145,14421.420486464098,0.5851291390686253
Linear Regression (NDVI),20310.74776233756,24418.667842770235,-0.18943520258954516
Linear Regression (NDVI+NDWI+NDBI),38019.92150569976,43172.2908190838,-2.7179799278385683
