comarca,cultivo,year,produccion_tn,ndvi_mean_annual,ndwi_mean_annual,ndbi_mean_annual,cloud_cover_pct_annual,valid_pixel_count_annual,window_count
Cuenca de Pamplona,Cebada,2019,53759.834,0.45935852957833395,-0.4706230128239919,-0.1700292672759298,48.41663742572464,199956215,23
Cuenca de Pamplona,Cebada,2021,38739.14399999999,0.46452352378554734,-0.4736667865855619,-0.1636933086403111,51.47082090978261,190503404,23
Cuenca de Pamplona,Cebada,2023,46335.68400000001,0.4944876405768749,-0.506599416737463,-0.09589569806280906,55.07404243115942,193990862,23
Cuenca de Pamplona,Trigo blando,2019,90930.424,0.45935852957833395,-0.4706230128239919,-0.1700292672759298,48.41663742572464,199956215,23
Cuenca de Pamplona,Trigo blando,2021,71253.488,0.46452352378554734,-0.4736667865855619,-0.1636933086403111,51.47082090978261,190503404,23
Cuenca de Pamplona,Trigo blando,2023,62335.04,0.4944876405768749,-0.506599416737463,-0.09589569806280906,55.07404243115942,193990862,23
Navarra Media,Cebada,2019,68958.71100000001,0.45153904897939734,-0.4820139857778845,-0.09742561510737667,41.38712650163043,350363075,23
Navarra Media,Cebada,2021,61070.73,0.46937302881561255,-0.4954319436215023,-0.08779457783098885,46.989504467366054,342182225,23
Navarra Media,Cebada,2023,47463.255,0.45857886553254656,-0.488778414369854,-0.04839243790789788,46.21098330900307,349782312,23
Navarra Media,Trigo blando,2019,95798.99300000002,0.45153904897939734,-0.4820139857778845,-0.09742561510737667,41.38712650163043,350363075,23
Navarra Media,Trigo blando,2021,97747.438,0.46937302881561255,-0.4954319436215023,-0.08779457783098885,46.989504467366054,342182225,23
Navarra Media,Trigo blando,2023,73443.67,0.45857886553254656,-0.488778414369854,-0.04839243790789788,46.21098330900307,349782312,23
Nordoccidental,Cebada,2019,2320.85,0.59265140740926,-0.5696146830216436,-0.24004358257764213,49.37064073514493,448142745,23
Nordoccidental,Cebada,2021,2116.4,0.5758643658220478,-0.5466999499135005,-0.26238833336426465,51.86268109963768,468872247,23
Nordoccidental,Cebada,2023,1854.417,0.6502257343454945,-0.6245036669746152,-0.20975941402649123,57.492389892080745,423014179,23
Nordoccidental,Trigo blando,2019,3907.916,0.59265140740926,-0.5696146830216436,-0.24004358257764213,49.37064073514493,448142745,23
Nordoccidental,Trigo blando,2021,4130.04,0.5758643658220478,-0.5466999499135005,-0.26238833336426465,51.86268109963768,468872247,23
