COMARCA,GRUPO,count_start,count_end,change,pct_change
Navarra Media,Cultivos herbáceos secano,1499.0,1511.0,12.0,0.8005336891260841
Tierra Estella,Improductivo,1181.0,1195.0,14.0,1.1854360711261642
Nordoccidental,Cultivos leñosos secano,91.0,108.0,17.0,18.681318681318682
Nordoccidental,Cultivos herbáceos regadío,0.0,24.0,24.0,
Ribera Alta-Aragón,Improductivo,1425.0,1449.0,24.0,1.6842105263157894
Ribera Baja,Cultivos herbáceos secano,1130.0,1156.0,26.0,2.3008849557522124
Tierra Estella,Cultivos leñosos secano,1378.0,1405.0,27.0,1.9593613933236573
Pirineos,Coníferas/Frondosas,860.0,889.0,29.0,3.372093023255814
Cuenca de Pamplona,Improductivo,1682.0,1714.0,32.0,1.9024970273483945
Ribera Alta-Aragón,Cultivos leñosos secano,512.0,569.0,57.0,11.1328125
Tierra Estella,Frondosas,1455.0,1513.0,58.0,3.9862542955326457
Pirineos,Cultivos herbáceos regadío,0.0,59.0,59.0,
Ribera Baja,Improductivo,1609.0,1673.0,64.0,3.9776258545680543
Ribera Alta-Aragón,Cultivos herbáceos secano,865.0,930.0,65.0,7.514450867052023
Cuenca de Pamplona,Cultivos leñosos regadío,0.0,75.0,75.0,
Pirineos,Frondosas,2816.0,2893.0,77.0,2.734375
Cuenca de Pamplona,Forestal no arbolado,1413.0,1515.0,102.0,7.218683651804671
Ribera Alta-Aragón,Forestal no arbolado,1922.0,2047.0,125.0,6.503642039542143
Ribera Baja,Forestal no arbolado,2520.0,2649.0,129.0,5.119047619047619
Navarra Media,Forestal no arbolado,2436.0,2572.0,136.0,5.582922824302135
Cuenca de Pamplona,Cultivos herbáceos regadío,0.0,138.0,138.0,
Tierra Estella,Forestal no arbolado,2615.0,2754.0,139.0,5.315487571701721
Pirineos,Coníferas,2951.0,3100.0,149.0,5.0491358861402915
Tierra Estella,Cultivos leñosos regadío,0.0,214.0,214.0,
Tierra Estella,Cultivos herbáceos regadío,0.0,286.0,286.0,
Nordoccidental,Frondosas,4815.0,5144.0,329.0,6.832814122533749
Navarra Media,Cultivos herbáceos regadío,0.0,418.0,418.0,
Navarra Media,Cultivos leñosos regadío,0.0,542.0,542.0,
Pirineos,Forestal no arbolado,4193.0,4979.0,786.0,18.745528261388028
Ribera Alta-Aragón,Cultivos herbáceos regadío,0.0,811.0,811.0,
Ribera Baja,Cultivos herbáceos regadío,0.0,877.0,877.0,
Ribera Alta-Aragón,Cultivos leñosos regadío,0.0,1300.0,1300.0,
Nordoccidental,Forestal no arbolado,2607.0,4099.0,1492.0,57.23053317990027
Ribera Baja,Cultivos leñosos regadío,0.0,1967.0,1967.0,
