COMARCA,land_use_change_score,z_score,change_candidate_flag
Nordoccidental,135.21113785759565,2.0998370197250944,True
Pirineos,57.78061598068628,0.47612981692612644,False
Cuenca de Pamplona,16.72281588320963,-0.3848465026617891,False
Ribera Alta-Aragón,14.018092906594166,-0.4415641647962095,False
Tierra Estella,7.990207157551591,-0.567968084996164,False
Ribera Baja,7.419932574799831,-0.5799266631529689,False
Navarra Media,6.383456513428219,-0.6016614210440902,False
